SMILES,PMF,GGI10,ATSC7d,MATS1s,Xc-5d,AATS4d,GATS1dv,AATSC7s,BCUTs-1l,GATS2s,BCUTc-1l
CC(C)CC(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,52.46953557440423,0.17753290480563205,-11.939508506616257,-0.20644799694286994,0.768617269803962,2.2922374429223744,0.8056152451695632,-0.06384200307703135,1.1531137334149404,0.9635954209817598,-0.3954690938948008
CC(C)CC(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,51.806881,0.1887603305785124,-7.683710737764791,-0.10159518199740344,0.1916383190435099,2.390625,0.7294670560321226,-0.17573614356591374,1.159584911821349,0.9513542487663701,-0.4931604935554482
CCC(C)C(C)CCOCCOCCOCCO,31.317841,0.04958677685950413,-1.3333333333333326,-0.08876566431345717,0.16666666666666666,1.7333333333333334,0.8700906344410878,0.004390432098765407,1.1850090863823222,1.205291723202171,-0.41627767953761896
CCC(C)C(C)CC1=CC=C(C=C1)OCCO,25.881792,0.03305785123966942,-3.770374776918501,-0.11214340133750951,0.16666666666666666,1.981651376146789,0.7463349622390049,-0.05307923288292116,1.185459741962084,0.917873346130351,-0.52212471941265
CCC(C)C(C)CCOC1C(C(C(C(O1)CO)O)O)O,32.572618,0.0454035302520151,-2.965277777777779,-0.18783177796630712,0.5813389786187642,1.9183673469387754,0.8127470355731222,-0.22366952333888196,1.1540134754515228,0.9358607037530806,-0.394562545124436
CCC(C)C(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,57.555276,0.13212937455361698,-14.224952741020791,-0.20577415451245148,0.9352839364706288,2.2648401826484017,0.798700092850511,-0.05553053771316027,1.1531136837392044,0.9668777843196648,-0.3954693117367649
CCC(C)C(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,56.99303219982716,0.20528925619834712,-8.244704163623082,-0.10070563061980091,0.35830498571017655,2.3489583333333335,0.7228052564336557,-0.1147974346172544,1.1595849118214718,0.9557069267933713,-0.4931602462997994
CC(C)(C)C(C)(C)CCOCCOCCOCCO,32.32087149774486,0.08264462809917356,-1.3333333333333324,-0.13395143618596395,1.8106601717798214,1.5272727272727273,0.8658857594103709,0.03431002868719132,1.1033927840405875,1.1439084167616986,-0.41626761958854347
CC(C)(C)C(C)(C)CC1=CC=C(C=C1)OCCO,33.887207,0.04958677685950413,-3.320247933884296,-0.1678214892439254,1.8106601717798214,1.7272727272727273,0.7500000000000002,-0.010832759412304832,1.1035982546012018,0.851172478955506,-0.5221256568330241
CC(C)(C)C(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,43.91674910448834,0.0,-6.22491349480969,-0.20803283535855596,2.225332483731919,1.703125,0.8089033659066232,-0.17072963622315462,1.1033926354033514,0.9109365539769931,-0.39455328715500954
CC(C)(C)C(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,56.303569,0.1528415467809407,-18.350308641975307,-0.2176118327413865,2.5792774415837836,2.0492424242424243,0.7941114790429857,-0.032500819775005976,1.1033926247468686,0.9507361323943239,-0.3954613234786585
CC(C)(C)C(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,62.41162921608246,0.28793388429752054,-7.816326530612243,-0.11736282884524867,2.0022984908233314,2.0928270042194095,0.7230173429870349,-0.03575978141486163,1.1036448455172834,0.9363236650632627,-0.49314516545504106
CCC(C)(CC)CCCOCCOCCOCCO,29.126092,0.04958677685950413,-2.666666666666666,-0.08630501535312182,0.0,1.7028985507246377,0.8742457487657703,-0.051549145299145296,1.146708018606889,1.1923169058559637,-0.41628926285950374
CCC(C)(CC)CCC1=CC=C(C=C1)OCCO,30.141789,0.049586776859504134,-3.9607438016528915,-0.1070029156505698,0.0,1.8661417322834646,0.7551302288871352,-0.10930820903220931,1.1467572854158894,0.904820315123903,-0.522125468826415
CCC(C)(CC)CCCOC1C(C(C(C(O1)CO)O)O)O,43.1763922217051,0.0908070605040302,1.186851211072663,-0.18136181371704047,0.4146723119520975,1.8666666666666667,0.8142407906558851,-0.2339489456860702,1.1467077432103503,0.9262471000138467,-0.39457929375392714
CCC(C)(CC)CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,57.44344112499586,0.16100397918579737,-9.85030864197531,-0.20005501733267816,0.768617269803962,2.2025316455696204,0.7971476824920248,-0.05442431852611964,1.1467075526343655,0.9587677458142605,-0.39548090748375164
CCC(C)(CC)CCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,66.895624,0.2052892561983471,-10.632653061224492,-0.09771454889278504,0.1916383190435099,2.261904761904762,0.7243066884176185,-0.2016871065842927,1.1467676422447368,0.9483149857654501,-0.4931772016323022
CCCC(C)(C)CCCOCCOCCOCCO,35.835371,0.04958677685950413,-1.9999999999999993,-0.08943705220061415,0.0,1.7463768115942029,0.8882336807460227,-0.009882478632478622,1.1577128181726308,1.1776171083865066,-0.41628946800386607
CCCC(C)(C)CCC1=CC=C(C=C1)OCCO,27.925591,0.04958677685950413,-3.8677685950413223,-0.11085799954245219,0.0,1.905511811023622,0.7720994475138125,-0.07217765585455443,1.1577774553515148,0.8861713467969219,-0.5221254945835598
